Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-06-01 04:17:00,818880,819005,818489,818919,0.70998588,581198.72753,818606.03697
2018-06-01 04:18:00,818408,818876,818401,818800,2.25590013,1847047.1509,818762.8194800002
2018-06-01 04:19:00,818700,818716,818421,818716,1.78728588,1462982.2679,818549.67035
2018-06-01 04:20:00,818429,818667,818379,818500,5.22495803,4276163.0836,818410.99182
2018-06-01 04:21:00,818500,819398,818500,819398,1.9379,1586843.7515,818847.0775199998
2018-06-01 04:22:00,818760,819110,818579,819110,5.7548,4713118.2659,818989.06407
2018-06-01 04:23:00,818999,819110,818558,818575,4.07975,3340961.0151,818913.17239
2018-06-01 04:24:00,818584,819018,818578,819018,0.6107,500096.9086,818891.2863899998
2018-06-01 04:25:00,818907,819050,818612,818979,1.5122,1238311.0929,818880.50053
2018-06-01 04:26:00,818907,819050,818612,818979,1.5122,1238311.0929,818880.50053
2018-06-01 04:27:00,818908,818925,818672,818672,1.41068396,1154981.0199,818738.32316
2018-06-01 04:28:00,818565,818565,818430,818430,2.77265269,2269385.9658,818489.08591
2018-06-01 04:29:00,818510,818523,818500,818513,0.11,90035.823,818507.48182
2018-06-01 04:30:00,818513,819106,818400,818790,8.52939961,6982150.5957,818598.13293
2018-06-01 04:31:00,818440,818440,818270,818271,3.059,2503109.34,818276.99902
2018-06-01 04:32:00,818300,818490,818300,818490,0.021,17188.1,818480.95238
2018-06-01 04:33:00,818490,818640,818384,818611,0.7825,640483.93,818509.8147
2018-06-01 04:34:00,818522,818522,818267,818500,0.64343341,526540.2526,818329.05226
2018-06-01 04:35:00,818500,818500,818458,818458,1.61150013,1318999.1435,818491.4906199998
2018-06-01 04:36:00,818300,818581,818300,818581,0.688,563161.2761,818548.36642
2018-06-01 04:37:00,818300,818300,817500,817500,3.78324229,3095116.3414,818112.11235
2018-06-01 04:38:00,817910,818580,817544,818580,2.78633219,2279435.847,818077.56273
2018-06-01 04:39:00,818031,818581,817806,817811,7.87563219,6443469.2009,818152.6314899998
2018-06-01 04:40:00,817833,818206,817833,818181,2.2024,1801626.3434,818028.67027
2018-06-01 04:41:00,818051,818870,818051,818273,1.43189994,1171765.3045,818329.04088
2018-06-01 04:42:00,818906,818906,818301,818301,0.5791814999999999,474083.51713,818540.50437
2018-06-01 04:43:00,818321,818520,818125,818125,2.9236,2392466.9702,818329.1046
2018-06-01 04:44:00,818125,818223,817968,818120,1.5256848,1248205.8888,818128.2849600002
2018-06-01 04:45:00,818318,818318,818051,818318,0.519,424706.775,818317.48555
2018-06-01 04:46:00,818318,818769,818318,818687,0.96827,792626.04576,818600.23109
2018-06-01 04:47:00,818366,818849,818344,818849,1.231,1007497.3143,818438.11075
2018-06-01 04:48:00,818732,819426,818732,819426,13.6128717,11150610.162,819122.5486699998
